Product ID,Product Type,Country of Origin,Customer Rating
ASNX,Baby Food,Canada,5
DQAR,Snacks,United States,2
DVUA,Beverages,United States,5
EDQI,Cereal,Canada,4
IXRR,Snacks,Korea,2
LIQZ,Personal Care,United States,3
LZSI,Clothes,China,2
MKIT,Clothes,China,3
MVEM,Clothes,Vietnam,3
RACB,Baby Food,United States,4
RVOK,Office Supplies,China,1
SNIL,Cosmetics,Germany,5
URQD,Cereal,Japan,3
UWDY,Cosmetics,Japan,4
VBOO,Baby Food,New Zealand,5
WQZC,Meat,Canada,4
XZEM,Cereal,United States,3
YTOV,Office Supplies,United States,1
ZBOW,Beverages,China,3
BOTW,Baby Food,New Zealand,5
